incident_id,chunk_index,chunk_id,chunk_text,chunk_token_count
RCA-00001,0,RCA-00001_chunk_0,"incident context : incident description : users reported data synchronization failure affecting the data validation service. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : data / data pipeline severity : medium priority : p4 affected service : data validation service environment : production issue type : data synchronization failure observed technical signals : feature observed cpu percent : 61 feature observed memory percent : 61 feature request latency ms : 4572 feature error rate percent : 0. 95 feature affected records or requests : 345245 feature incident duration minutes : 525 feature retry count : 11 feature records processed : 2946280 feature records affected : 345245 feature pipeline delay minutes : 243 feature validation failure rate percent : 14. 47 feature schema check : failed",171
RCA-00002,0,RCA-00002_chunk_0,"incident context : incident description : monitoring and support tickets indicated business - rule change not reflected on the order workflow. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : business process / configuration severity : high priority : p2 affected service : order workflow environment : production issue type : business - rule change not reflected observed technical signals : feature observed cpu percent : 59 feature observed memory percent : 89 feature request latency ms : 3088 feature error rate percent : 8. 53 feature affected records or requests : 234452 feature incident duration minutes : 32 feature retry count : 3",137
RCA-00003,0,RCA-00003_chunk_0,"incident context : incident description : the api gateway experienced an incident associated with database workload spike. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : capacity / performance management severity : medium priority : p3 affected service : api gateway environment : production issue type : database workload spike observed technical signals : feature observed cpu percent : 90 feature observed memory percent : 67 feature request latency ms : 3894 feature error rate percent : 34. 89 feature affected records or requests : 214624 feature incident duration minutes : 177 feature retry count : 4 feature normal workload multiplier : 4. 79 feature peak cpu percent : 88 feature peak memory percent : 94 feature queue depth : 70083",161
RCA-00004,0,RCA-00004_chunk_0,"incident context : incident description : monitoring and support tickets indicated cloud storage provider failure on the cloud storage. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : external dependencies severity : medium priority : p2 affected service : cloud storage environment : production issue type : cloud storage provider failure observed technical signals : feature observed cpu percent : 50 feature observed memory percent : 96 feature request latency ms : 1305 feature error rate percent : 33. 45 feature affected records or requests : 494297 feature incident duration minutes : 229 feature retry count : 4",131
RCA-00005,0,RCA-00005_chunk_0,"incident context : incident description : monitoring and support tickets indicated http 504 errors on the order api. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : api / microservices severity : medium priority : p4 affected service : order api environment : production issue type : http 504 errors observed technical signals : feature observed cpu percent : 35 feature observed memory percent : 78 feature request latency ms : 4244 feature error rate percent : 6. 88 feature affected records or requests : 314562 feature incident duration minutes : 385 feature retry count : 8",133
RCA-00006,0,RCA-00006_chunk_0,"incident context : incident description : the customer account service experienced an incident associated with incorrect result. the issue was observed in the uat environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : user / customer incident severity : medium priority : p2 affected service : customer account service environment : uat issue type : incorrect result observed technical signals : feature observed cpu percent : 76 feature observed memory percent : 73 feature request latency ms : 5268 feature error rate percent : 42. 63 feature affected records or requests : 128980 feature incident duration minutes : 400 feature retry count : 1",131
RCA-00007,0,RCA-00007_chunk_0,"incident context : incident description : monitoring and support tickets indicated transformation error on the data validation service. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : data / data pipeline severity : low priority : p4 affected service : data validation service environment : production issue type : transformation error observed technical signals : feature observed cpu percent : 60 feature observed memory percent : 69 feature request latency ms : 2980 feature error rate percent : 8. 96 feature affected records or requests : 103114 feature incident duration minutes : 157 feature retry count : 8 feature records processed : 3124767 feature records affected : 103114 feature pipeline delay minutes : 224 feature validation failure rate percent : 4. 06 feature schema check : passed",165
RCA-00008,0,RCA-00008_chunk_0,"incident context : incident description : users reported resource saturation affecting the message queue. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : capacity / performance management severity : low priority : p3 affected service : message queue environment : production issue type : resource saturation observed technical signals : feature observed cpu percent : 42 feature observed memory percent : 64 feature request latency ms : 2751 feature error rate percent : 1. 49 feature affected records or requests : 391759 feature incident duration minutes : 489 feature retry count : 3 feature normal workload multiplier : 6. 62 feature peak cpu percent : 88 feature peak memory percent : 90 feature queue depth : 92395",157
RCA-00009,0,RCA-00009_chunk_0,"incident context : incident description : support received multiple reports of backup retention failure in the backup platform. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : business continuity / disaster recovery severity : critical priority : p3 affected service : backup platform environment : production issue type : backup retention failure observed technical signals : feature observed cpu percent : 48 feature observed memory percent : 55 feature request latency ms : 4361 feature error rate percent : 3. 59 feature affected records or requests : 421815 feature incident duration minutes : 472 feature retry count : 7 feature rpo minutes : 1019 feature rto minutes : 189 feature backup age hours : 9 feature recovery test status : not tested",158
RCA-00010,0,RCA-00010_chunk_0,"incident context : incident description : the deployment process experienced an incident associated with change made without proper validation. the issue was observed in the production environment. initial investigation showed degraded behavior and the support team collected logs, metrics, and transaction evidence for analysis. category : human / operational severity : high priority : p3 affected service : deployment process environment : production issue type : change made without proper validation observed technical signals : feature observed cpu percent : 93 feature observed memory percent : 77 feature request latency ms : 1843 feature error rate percent : 7. 13 feature affected records or requests : 347461 feature incident duration minutes : 450 feature retry count : 2",131
